LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; 

Accuracy: 77.77777777777779%Predicted: SnowyOwl; BarnOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; 
Actual: SnowyOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; 
Accuracy: 91.11111111111111%Predicted: BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; 
Actual: BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; 
Accuracy: 88.88888888888889%Predicted: LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; 
Actual: LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; 
Accuracy: 77.77777777777779%Predicted: SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; SnowyOwl; 
Actual: SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; SnowyOwl; SnowyOwl; 
Accuracy: 93.33333333333333%Predicted: LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; BarnOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; 
Actual: LongEaredOwl; BarnOwl; BarnOwl; BarnOwl; BarnOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; BarnOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; 
Accuracy: 93.33333333333333%Predicted: LongEaredOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; BarnOwl; LongEaredOwl; LongEaredOwl; BarnOwl; SnowyOwl; LongEaredOwl; BarnOwl; SnowyOwl; BarnOwl; BarnOwl; BarnOwl; SnowyOwl; SnowyOwl; LongEaredOwl; SnowyOwl; SnowyOwl; LongEaredOwl; LongEaredOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; BarnOwl; LongEaredOwl; SnowyOwl; LongEaredOwl; SnowyOwl; BarnOwl; SnowyOwl; 
